,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
seasonality[37],-0.059,0.011,-0.08,-0.039,0.0,0.0,2098.0,1551.0,1.0
seasonality[38],0.039,0.013,0.015,0.064,0.0,0.0,1913.0,1800.0,1.0
seasonality[39],0.031,0.012,0.008,0.053,0.0,0.0,2108.0,1894.0,1.0
seasonality[40],0.085,0.013,0.063,0.109,0.0,0.0,1945.0,1883.0,1.0
seasonality[41],0.067,0.012,0.046,0.09,0.0,0.0,2050.0,1891.0,1.0
seasonality[42],0.082,0.012,0.062,0.108,0.0,0.0,2196.0,1896.0,1.0
seasonality[43],0.071,0.012,0.048,0.093,0.0,0.0,2161.0,1500.0,1.0
seasonality[44],-0.015,0.012,-0.036,0.008,0.0,0.0,2425.0,1746.0,1.0
seasonality[45],-0.022,0.013,-0.044,0.003,0.0,0.0,2061.0,1565.0,1.0
seasonality[46],-0.109,0.012,-0.132,-0.086,0.0,0.0,2138.0,1899.0,1.0
seasonality[47],-0.133,0.013,-0.154,-0.106,0.0,0.0,1948.0,1482.0,1.0
σ,0.018,0.003,0.013,0.023,0.0,0.0,927.0,1336.0,1.0
