,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_cpi[18],0.001,0.028,-0.052,0.051,0.002,0.001,323.0,593.0,1.01
beta_cpi[19],0.001,0.027,-0.05,0.051,0.002,0.001,307.0,547.0,1.01
beta_cpi[20],0.001,0.027,-0.049,0.052,0.002,0.001,313.0,625.0,1.01
beta_cpi[21],0.0,0.027,-0.051,0.049,0.002,0.001,317.0,626.0,1.01
beta_cpi[22],-0.001,0.027,-0.05,0.048,0.002,0.001,324.0,533.0,1.01
beta_cpi[23],-0.002,0.027,-0.051,0.047,0.001,0.001,320.0,519.0,1.01
beta_cpi[24],-0.003,0.027,-0.051,0.046,0.001,0.001,329.0,504.0,1.01
beta_cpi[25],-0.005,0.026,-0.052,0.044,0.001,0.001,338.0,544.0,1.01
beta_cpi[26],-0.006,0.026,-0.055,0.041,0.001,0.001,324.0,554.0,1.01
beta_cpi[27],-0.007,0.026,-0.057,0.04,0.001,0.001,334.0,495.0,1.01
beta_cpi[28],-0.009,0.025,-0.054,0.041,0.001,0.001,326.0,521.0,1.01
beta_cpi[29],-0.01,0.025,-0.055,0.037,0.001,0.001,320.0,590.0,1.01
beta_cpi[30],-0.011,0.025,-0.055,0.036,0.001,0.001,326.0,575.0,1.01
beta_cpi[31],-0.011,0.024,-0.054,0.037,0.001,0.001,335.0,594.0,1.01
beta_cpi[32],-0.012,0.024,-0.058,0.032,0.001,0.001,338.0,586.0,1.01
beta_cpi[33],-0.013,0.023,-0.055,0.033,0.001,0.001,346.0,609.0,1.01
beta_cpi[34],-0.014,0.023,-0.054,0.031,0.001,0.001,347.0,650.0,1.01
beta_cpi[35],-0.014,0.022,-0.055,0.028,0.001,0.001,361.0,599.0,1.01
beta_cpi[36],-0.015,0.022,-0.053,0.029,0.001,0.001,359.0,601.0,1.01
beta_cpi[37],-0.016,0.021,-0.053,0.025,0.001,0.001,375.0,570.0,1.01
beta_cpi[38],-0.016,0.021,-0.055,0.021,0.001,0.001,395.0,634.0,1.01
beta_cpi[39],-0.017,0.02,-0.055,0.021,0.001,0.001,402.0,762.0,1.01
beta_cpi[40],-0.015,0.02,-0.053,0.022,0.001,0.001,421.0,674.0,1.01
beta_cpi[41],-0.014,0.019,-0.05,0.021,0.001,0.001,427.0,771.0,1.01
beta_cpi[42],-0.015,0.018,-0.052,0.017,0.001,0.001,439.0,881.0,1.01
beta_cpi[43],-0.014,0.018,-0.045,0.021,0.001,0.001,458.0,894.0,1.01
beta_cpi[44],-0.015,0.017,-0.046,0.018,0.001,0.001,469.0,726.0,1.01
beta_cpi[45],-0.016,0.017,-0.046,0.017,0.001,0.001,490.0,630.0,1.01
beta_cpi[46],-0.014,0.017,-0.044,0.018,0.001,0.001,515.0,697.0,1.01
beta_cpi[47],-0.012,0.017,-0.044,0.019,0.001,0.0,558.0,864.0,1.01
beta_unknown[0],-0.047,0.033,-0.109,0.013,0.001,0.001,489.0,919.0,1.0
beta_unknown[1],-0.047,0.032,-0.105,0.015,0.001,0.001,471.0,924.0,1.01
beta_unknown[2],-0.047,0.032,-0.108,0.01,0.001,0.001,469.0,993.0,1.0
beta_unknown[3],-0.047,0.032,-0.102,0.015,0.001,0.001,476.0,852.0,1.0
beta_unknown[4],-0.047,0.031,-0.102,0.011,0.001,0.001,469.0,960.0,1.01
beta_unknown[5],-0.047,0.031,-0.105,0.008,0.001,0.001,468.0,893.0,1.01
beta_unknown[6],-0.047,0.031,-0.104,0.006,0.001,0.001,484.0,850.0,1.01
beta_unknown[7],-0.047,0.03,-0.102,0.007,0.001,0.001,461.0,789.0,1.01
beta_unknown[8],-0.047,0.03,-0.1,0.007,0.001,0.001,474.0,763.0,1.01
beta_unknown[9],-0.047,0.029,-0.101,0.005,0.001,0.001,478.0,709.0,1.01
beta_unknown[10],-0.047,0.028,-0.098,0.005,0.001,0.001,485.0,912.0,1.01
beta_unknown[11],-0.047,0.028,-0.094,0.008,0.001,0.001,478.0,865.0,1.01
beta_unknown[12],-0.047,0.027,-0.098,0.003,0.001,0.001,475.0,890.0,1.01
beta_unknown[13],-0.048,0.027,-0.098,0.001,0.001,0.001,479.0,805.0,1.01
beta_unknown[14],-0.048,0.026,-0.095,0.002,0.001,0.001,472.0,709.0,1.01
beta_unknown[15],-0.048,0.025,-0.094,-0.001,0.001,0.001,468.0,483.0,1.01
beta_unknown[16],-0.048,0.025,-0.098,-0.006,0.001,0.001,454.0,581.0,1.01
beta_unknown[17],-0.049,0.024,-0.091,-0.001,0.001,0.001,438.0,731.0,1.01
beta_unknown[18],-0.049,0.024,-0.094,-0.006,0.001,0.001,429.0,637.0,1.01
beta_unknown[19],-0.049,0.023,-0.089,-0.005,0.001,0.001,432.0,887.0,1.01
beta_unknown[20],-0.048,0.022,-0.092,-0.008,0.001,0.001,459.0,601.0,1.01
beta_unknown[21],-0.047,0.022,-0.09,-0.009,0.001,0.001,453.0,508.0,1.01
beta_unknown[22],-0.046,0.021,-0.085,-0.008,0.001,0.001,463.0,658.0,1.01
